2021-03-07/10:38:38		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-03-07/10:38:43		 wafer_13012020_090817.csv: File loaded successfully!!
