2021-03-07/10:37:01		Start of Validation on files!!
2021-03-07/10:37:11		Raw Data Validation Complete!!
2021-03-07/10:37:11		Starting Data Transforamtion!!
2021-03-07/10:37:19		DataTransformation Completed!!!
2021-03-07/10:37:19		Creating Training_Database and tables on the basis of given schema!!!
2021-03-07/10:38:38		Table creation Completed!!
2021-03-07/10:38:38		Insertion of Data into Table started!!!!
2021-03-07/10:40:10		Insertion in Table completed!!!
2021-03-07/10:40:10		Deleting Good Data Folder!!!
2021-03-07/10:40:10		Good_Data folder deleted!!!
2021-03-07/10:40:10		Moving bad files to Archive and deleting Bad_Data folder!!!
2021-03-07/10:40:10		Bad files moved to archive!! Bad folder Deleted!!
2021-03-07/10:40:10		Validation Operation completed!!
2021-03-07/10:40:10		Extracting csv file from table
